2022-03-30 20:05:35.441554, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.442472, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.443548, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.444269, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.538241, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.538771, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.538968, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.540201, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.540501, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.540703, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.541683, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.541900, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.542091, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.542855, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.543663, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.544379, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.639554, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.640143, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.640340, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.641594, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.641896, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.642114, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.643085, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.643301, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.643493, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.644284, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.645077, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.645696, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.741799, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.742333, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.742532, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.743863, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.744130, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.744328, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.745524, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.745922, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.746197, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.747191, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.747890, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.748497, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.842841, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.843341, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.843510, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.844952, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.845246, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.845441, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.846922, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.847355, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.847561, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.848449, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.849372, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.850105, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:35.943780, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:35.944314, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:35.944512, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:35.945671, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.945981, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.946185, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:35.947216, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.947421, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.947612, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:35.948422, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:35.949274, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:35.949969, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.045547, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.046107, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.046302, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.047280, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.047485, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.047691, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.048649, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.048852, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.049040, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.049803, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:36.050780, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:36.051524, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.146851, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.147357, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.147560, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.148898, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.149182, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.149402, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.150653, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.150897, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.151085, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.151900, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:36.152757, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:36.153433, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.247697, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.248219, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.248428, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.249872, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.250151, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.250342, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.251362, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.251605, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.251839, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.252645, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:36.253365, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:36.254164, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.348624, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.349170, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.349396, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.350855, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.351155, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.351352, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.352265, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.352472, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.352665, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.353394, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:36.354297, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:36.354967, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.450428, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.450942, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.451150, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.452519, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.452804, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.453017, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.454340, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.454608, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.454801, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
2022-03-30 20:05:36.455602, TCP Packet, 11141123, 00:00:00:aa:00:03, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.0.21, 
2022-03-30 20:05:36.456875, TCP Packet, 11141121, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:13, 10.0.0.21, 
2022-03-30 20:05:36.457546, TCP Packet, 11141120, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:0d, 10.0.0.21, Packet has reached its destination
2022-03-30 20:05:36.551747, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.0.21, 00:00:00:aa:00:05, 10.0.3.20, 
2022-03-30 20:05:36.552325, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.20, 00:00:00:aa:00:0a, 10.0.3.20, 
2022-03-30 20:05:36.552527, TCP Packet, 11141120, 00:00:00:aa:00:0a, 10.0.3.21, 00:00:00:aa:00:0b, 10.0.3.20, 
2022-03-30 20:05:36.553844, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.554119, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.20, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.554314, TCP Packet, 11141122, ff:ff:ff:ff:ff:ff, 10.0.3.21, 00:00:00:aa:00:10, 10.0.3.20, 
2022-03-30 20:05:36.555242, TCP Packet, 11141123, ff:ff:ff:ff:ff:ff, 10.0.0.21, 00:00:00:aa:00:0e, 10.0.3.20, Packet has reached its destination
